fabian	remolina	carnes	durham_lifspan	durham_fecundityw1	durham_fecundityw3	durham_fecundityw5	durham_fecundityw7	durham_fecundityLifetime	huang_DGRP	huang_AIP	ours_HS_C_1kb	ours_HS_1kb	ours_C_1kb	hoedjes_lifespan	hoedjes_diet	hoedjes_diet_lifespan	genAge_dmel
FBgn0027093	FBgn0029514	FBgn0250848	FBgn0052062	FBgn0050440	FBgn0032094	FBgn0003963	FBgn0041097	FBgn0032151	FBgn0020238	FBgn0259923	FBgn0000008	FBgn0000008	FBgn0000633	FBgn0000024	FBgn0000018	FBgn0000008	FBgn0034366
FBgn0027087	FBgn0250848	FBgn0053100	FBgn0032536	FBgn0003382	FBgn0051708	FBgn0028481	FBgn0031331	FBgn0263873	FBgn0004168	FBgn0010339	FBgn0000018	FBgn0000116	FBgn0000709	FBgn0000299	FBgn0000504	FBgn0003090	FBgn0052672
FBgn0000024	FBgn0023129	FBgn0004168	FBgn0087007	FBgn0004839	FBgn0259176	FBgn0031294	FBgn0053126	FBgn0050440	FBgn0052062	FBgn0250848	FBgn0000057	FBgn0000180	FBgn0001319	FBgn0000568	FBgn0000535	FBgn0003460	FBcl0435238
FBgn0020513	FBgn0035244	FBgn0259178	FBgn0263111	FBgn0034086	FBgn0033252	FBgn0031331	FBgn0086758	FBgn0264359	FBgn0027086	FBgn0004168	FBgn0000071	FBgn0000212	FBgn0003256	FBgn0001215	FBgn0001085	FBgn0028371	FBgn0043362
FBgn0039747	FBgn0015585	FBgn0000008	FBgn0052687	FBgn0034087	FBgn0034412	FBgn0053922	FBgn0051690	FBgn0033867	FBgn0000017	FBgn0263116	FBgn0000078	FBgn0000256	FBgn0003371	FBgn0003137	FBgn0001134	FBgn0039584	FBcl0446594
FBgn0086361	FBgn0000042	FBgn0052062	FBgn0053483	FBgn0086604	FBgn0034420	FBgn0031379	FBgn0016660	FBgn0033869	FBgn0022710	FBgn0000008	FBgn0000114	FBgn0000279	FBgn0003464	FBgn0003380	FBgn0001269	FBgn0261090	FBgn0036199
FBgn0000075	FBgn0020513	FBgn0020766	FBgn0260487	FBgn0052834	FBgn0034606	FBgn0031571	FBgn0051646	FBgn0034086	FBgn0026086	FBgn0052062	FBgn0000119	FBgn0000395	FBgn0004197	FBgn0003435	FBgn0001276	FBgn0263391	FBcl0401400
FBgn0086782	FBgn0250789	FBgn0027082	FBgn0263005	FBgn0034889	FBgn0085399	FBgn0000547	FBgn0031726	FBgn0034087	FBgn0020513	FBgn0005674	FBgn0000256	FBgn0000404	FBgn0004227	FBgn0003598	FBgn0003089	FBgn0003175	FBgn0000257
FBgn0023179	FBgn0025725	FBgn0264442	FBgn0264606	FBgn0004870	FBgn0034761	FBgn0261836	FBgn0031738	FBgn0086604	FBgn0000055	FBgn0264442	FBgn0000279	FBgn0000442	FBgn0004359	FBgn0003900	FBgn0003165	FBgn0024150	FBgn0000261
FBgn0030328	FBgn0087040	FBgn0035244	FBgn0038627	FBgn0035515	FBgn0260768	FBgn0016660	FBgn0031745	FBgn0052834	FBgn0000056	FBgn0000014	FBgn0000355	FBgn0000464	FBgn0004839	FBgn0004370	FBgn0003174	FBgn0034692	FBgn0041342
FBgn0261788	FBgn0004372	FBgn0000018	FBgn0040502	FBgn0262890	FBgn0034889	FBgn0015381	FBgn0259959	FBgn0034889	FBgn0250816	FBgn0000015	FBgn0000358	FBgn0000546	FBgn0011211	FBgn0004893	FBgn0003295	FBgn0034761	FBgn0013762
FBgn0000094	FBgn0040281	FBgn0000024	FBgn0036165	FBgn0042630	FBgn0004870	FBgn0263442	FBgn0085339	FBgn0034897	FBgn0029105	FBgn0020510	FBgn0000392	FBgn0000567	FBgn0011273	FBgn0005640	FBgn0003301	FBgn0050497	FBgn0027569
FBgn0004569	FBgn0000109	FBgn0028484	FBgn0033065	FBgn0038072	FBgn0035333	FBgn0031758	FBgn0000392	FBgn0035338	FBgn0052626	FBgn0004852	FBgn0000414	FBgn0000568	FBgn0011288	FBgn0008635	FBgn0003396	FBgn0053554	FBcl0418991
FBgn0030089	FBgn0038742	FBgn0083936	FBgn0028408	FBgn0038498	FBgn0035332	FBgn0000308	FBgn0262872	FBgn0035844	FBgn0032536	FBgn0000024	FBgn0000416	FBgn0000615	FBgn0011828	FBgn0011589	FBgn0004360	FBgn0085397	FBgn0014141
FBgn0263351	FBgn0000116	FBgn0000667	FBgn0040207	FBgn0261260	FBgn0035844	FBgn0053531	FBgn0031902	FBgn0087007	FBgn0260642	FBgn0020509	FBgn0000504	FBgn0000633	FBgn0013763	FBgn0011666	FBgn0005630	FBgn0263873	FBcl0470282
FBgn0015589	FBgn0041164	FBgn0038341	FBgn0019952	FBgn0263257	FBgn0035936	FBgn0051635	FBgn0262029	FBgn0038072	FBgn0000099	FBgn0000042	FBgn0000524	FBgn0000658	FBgn0015035	FBgn0011817	FBgn0010316	FBgn0266526	FBgn0024248
FBgn0039598	FBgn0000121	FBgn0026086	FBgn0262867	NA	FBgn0000116	FBgn0085339	FBgn0032047	FBgn0038498	FBgn0029879	FBgn0040510	FBgn0000543	FBgn0000721	FBgn0015808	FBgn0020257	FBgn0011829	FBgn0003963	FBgn0000330
FBgn0000114	FBgn0035407	FBgn0028658	FBgn0086911	NA	FBgn0038790	FBgn0000392	FBgn0263314	FBgn0263407	FBgn0032136	FBgn0040506	FBgn0000562	FBgn0001075	FBgn0020248	FBgn0020300	FBgn0013348	FBgn0013995	FBgn0033885
FBgn0030088	FBgn0030343	FBgn0053138	FBgn0085443	NA	FBgn0039028	FBgn0051632	FBgn0032048	FBgn0264503	FBgn0015904	FBgn0025115	FBgn0000578	FBgn0001128	FBgn0020429	FBgn0021800	FBgn0015582	FBgn0024836	FBcl0467166
FBgn0017418	FBgn0019644	FBgn0250789	FBgn0003499	NA	FBgn0039027	FBgn0017551	FBgn0003209	FBgn0052687	FBgn0028646	FBgn0038341	FBgn0000581	FBgn0001235	FBgn0020908	FBgn0022355	FBgn0015773	FBgn0030412	FBgn0039802
FBgn0011741	FBgn0016120	FBgn0023179	FBgn0011955	NA	FBgn0029894	FBgn0086451	FBgn0032111	FBgn0085443	FBgn0000114	FBgn0038172	FBgn0000588	FBgn0001250	FBgn0024804	FBgn0022740	FBgn0016032	FBgn0030418	FBcl0479959
FBgn0031781	FBgn0067783	FBgn0052626	NA	NA	FBgn0052676	FBgn0262872	FBgn0263082	NA	FBgn0025186	FBgn0027493	FBgn0000633	FBgn0001263	FBgn0027835	FBgn0024184	FBgn0016078	FBgn0031266	FBgn0031820
FBgn0000140	FBgn0067782	FBgn0027356	NA	NA	FBgn0259240	FBgn0031913	FBgn0083945	NA	FBgn0000119	FBgn0038223	FBgn0000658	FBgn0001269	FBgn0029725	FBgn0024273	FBgn0016081	FBgn0031627	FBcl0411860
FBgn0015591	FBgn0030410	FBgn0000094	NA	NA	NA	FBgn0031914	FBgn0262032	NA	FBgn0000121	FBgn0250816	FBgn0000721	FBgn0002441	FBgn0029993	FBgn0026400	FBgn0016797	FBgn0034745	FBgn0000479
FBgn0266429	FBgn0013751	FBgn0050488	NA	NA	NA	FBgn0045038	FBgn0028675	NA	FBgn0029095	FBgn0027932	FBgn0001075	FBgn0002543	FBgn0029994	FBgn0027556	FBgn0021979	FBgn0259171	FBgn0028707
FBgn0020762	FBgn0025525	FBgn0029879	NA	NA	NA	FBgn0085450	FBgn0032228	NA	FBgn0034606	FBgn0082598	FBgn0001168	FBgn0002563	FBgn0031251	FBgn0027579	FBgn0022382	FBgn0261509	FBgn0000482
FBgn0028550	FBgn0013433	FBgn0032136	NA	NA	NA	FBgn0261064	FBgn0051721	NA	FBgn0033010	FBgn0000064	FBgn0001179	FBgn0002787	FBgn0031299	FBgn0027655	FBgn0022984	FBgn0262737	FBgn0000546
FBgn0030960	FBgn0028645	FBgn0033807	NA	NA	NA	FBgn0028987	FBgn0032271	NA	FBgn0032422	FBgn0010215	FBgn0001217	FBgn0002936	FBgn0031413	FBgn0027660	FBgn0024887	FBgn0263030	FBgn0284245
FBgn0030343	FBgn0028644	FBgn0025186	NA	NA	NA	FBgn0032010	FBgn0032275	NA	FBgn0016119	FBgn0259170	FBgn0001222	FBgn0003175	FBgn0031414	FBgn0028494	FBgn0026401	FBgn0263031	FBgn0086712
FBgn0262870	FBgn0260859	FBgn0032329	NA	NA	NA	FBgn0011259	FBgn0032276	NA	FBgn0031420	FBgn0023179	FBgn0001254	FBgn0003210	FBgn0031431	FBgn0028622	FBgn0026403	FBgn0265523	FBcl0418769
FBgn0011758	FBgn0013753	FBgn0034606	NA	NA	NA	FBgn0003209	FBgn0032330	NA	FBgn0262870	FBgn0027356	FBgn0001256	FBgn0003292	FBgn0031635	FBgn0028740	FBgn0027279	FBgn0266806	FBgn0038197
FBgn0004854	FBgn0000182	FBgn0266429	NA	NA	NA	FBgn0032072	FBgn0032457	NA	FBgn0004870	FBgn0012037	FBgn0001263	FBgn0003380	FBgn0032484	FBgn0028992	FBgn0027491	FBgn0267001	FBcl0417410
FBgn0004870	FBgn0041161	FBgn0032336	NA	NA	NA	FBgn0011705	FBgn0264373	NA	FBgn0034724	FBgn0032535	FBgn0001269	FBgn0003396	FBgn0032715	FBgn0030320	FBgn0027525	FBgn0053143	FBgn0004373
FBgn0026149	FBgn0014135	FBgn0032337	NA	NA	NA	FBgn0051609	FBgn0028644	NA	FBgn0087007	FBgn0032536	FBgn0001297	FBgn0003429	FBgn0032957	FBgn0030354	FBgn0027580	FBgn0260866	FBcl0461608
FBgn0265607	FBgn0011206	FBgn0261823	NA	NA	NA	FBgn0041092	FBgn0028523	NA	FBgn0028645	FBgn0261788	FBgn0001316	FBgn0003651	FBgn0033757	FBgn0030796	FBgn0028560	FBgn0000108	FBgn0001087
FBgn0053179	FBgn0013755	FBgn0028550	NA	NA	NA	FBgn0263612	FBgn0032586	NA	FBgn0038087	FBgn0004569	FBgn0001319	FBgn0003716	FBgn0033848	FBgn0030914	FBgn0028563	FBgn0000251	FBcl0411326
