group1	group2	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	p.adj
1	ours_all_1kb	genAge_dmel	2	18	25.43312102	0.707738542	0.957735513	1
2	ours_all_1kb	hoedjes_diet_lifespan	2	74	32.64687898	2.266679153	1.2e-11	5.04e-11
3	ours_all_1kb	hoedjes_diet	2	36	17.38700637	2.070511693	1.93e-05	4.67653846153846e-05
4	ours_all_1kb	hoedjes_lifespan	2	35	12.48535032	2.803285379	1.27e-08	4.21105263157895e-08
5	ours_C_1kb	genAge_dmel	2	1	2.242038217	0.446022727	0.896810354	0.974121591413793
6	ours_C_1kb	hoedjes_diet_lifespan	2	7	2.877961783	2.432276912	0.02561865	0.0436209445945946
7	ours_C_1kb	hoedjes_diet	2	1	1.532738854	0.652426862	0.787390579	0.885814401375
8	ours_C_1kb	hoedjes_lifespan	2	4	1.100636943	3.634259259	0.024617315	0.04308030125
9	ours_HS_1kb	genAge_dmel	2	7	8.670382166	0.807346189	0.768232313	0.879975194890909
10	ours_HS_1kb	hoedjes_diet_lifespan	2	43	11.12961783	3.863564827	2.44e-14	1.281e-13
11	ours_HS_1kb	hoedjes_diet	2	13	5.927388535	2.193208683	0.006716736	0.0124457167058824
12	ours_HS_1kb	hoedjes_lifespan	2	14	4.256369427	3.289188178	9.28e-05	0.0002088
13	ours_HS_1kb	ours_C_1kb	2	15	4.03566879	3.716856061	1.23e-05	3.0996e-05
14	ours_HS_C_1kb	genAge_dmel	2	10	17.41082803	0.574355222	0.982564147	1
15	ours_HS_C_1kb	hoedjes_diet_lifespan	2	38	22.34917197	1.700286706	0.0009501	0.00195906832258065
16	ours_HS_C_1kb	hoedjes_diet	2	29	11.90267516	2.436427073	7.28e-06	1.911e-05
17	ours_HS_C_1kb	hoedjes_lifespan	2	25	8.547133758	2.92495715	1.08e-06	3.24e-06
18	ours_HS_C_1kb	ours_C_1kb	2	56	8.103949045	6.910211268	1.93e-33	4.053e-32
19	ours_HS_C_1kb	ours_HS_1kb	2	104	31.33949045	3.31849684	1.75e-28	2.75625e-27
20	ours_all_1kb	huang_AIP	2	335	171.7429299	1.950589757	4.12e-37	2.5956e-35
21	ours_C_1kb	huang_AIP	2	30	15.13987261	1.981522617	0.000165948	0.000360507724137931
22	ours_HS_1kb	huang_AIP	2	140	58.54872611	2.391170727	5.04e-24	4.536e-23
23	ours_HS_C_1kb	huang_AIP	2	221	117.5705732	1.879722059	6.27e-22	4.937625e-21
24	ours_all_1kb	huang_DGRP	2	147	60.94700637	2.411931426	6.37e-25	6.6885e-24
25	ours_C_1kb	huang_DGRP	2	14	5.372738854	2.605747344	0.000963986	0.00195906832258065
26	ours_HS_1kb	huang_DGRP	2	68	20.77738854	3.272788584	3.09e-18	2.163e-17
