shared_DEG	gxe_DEG	allgenesdeg	shared_entrez	gxe_entrez	all_entrez
FBgn0020304	FBgn0031529	FBgn0031081	33263	33554	33005
FBgn0031294	FBgn0261266	FBgn0031088	33277	34609	33012
FBgn0016926	FBgn0032456	FBgn0040784	33288	34686	50257
FBgn0021906	FBgn0086655	FBgn0031082	44390	35555	33006
FBgn0031356	FBgn0028408	FBgn0031080	33347	35955	33004
FBgn0031384	FBgn0040765	FBgn0053217	33377	2768719	2768951
FBgn0031450	FBgn0034085	FBgn0052350	33458	36790	317987
FBgn0031489	FBgn0263039	FBgn0024733	33510	NA	43864
FBgn0085422	FBgn0052264	FBgn0040372	33534	38438	30971
FBgn0031514	FBgn0035539	FBgn0000316	33539	38540	30973
FBgn0031533	FBgn0016694	FBgn0024989	33559	45588	30979
FBgn0021967	FBgn0260442	FBgn0029524	44228	38978	30990
FBgn0000721	FBgn0036211	FBgn0023536	44817	39336	30994
FBgn0041150	FBgn0261109	FBgn0023534	249663	39688	30996
FBgn0016075	FBgn0038118	FBgn0023535	33726	41615	46717
FBgn0003716	FBgn0051251	FBgn0023537	33753	318645	30995
FBgn0016076	FBgn0039140	FBgn0029525	33759	42845	30991
FBgn0031716	FBgn0002562	FBgn0052816	33780	32199	318225
FBgn0031745	FBgn0284247	FBgn0040373	33814	33245	30970
FBgn0031752	FBgn0031322	FBgn0000108	33825	33308	31002
FBgn0031805	FBgn0031414	FBgn0025640	33889	3771890	31007
FBgn0259714	FBgn0031424	FBgn0025635	7354433	33427	47718
FBgn0028703	FBgn0041337	FBgn0001341	33939	33439	31010
FBgn0031865	FBgn0003430	FBgn0003575	33961	33607	31012
FBgn0000053	FBgn0010473	FBgn0025634	33986	46015	31013
FBgn0031883	FBgn0026319	FBgn0025638	33989	33638	31014
FBgn0031885	FBgn0053196	FBgn0040383	33991	318824	31020
FBgn0031907	FBgn0031814	FBgn0040382	34016	33899	31021
FBgn0283658	FBgn0031879	FBgn0027343	34021	33983	31023
FBgn0260486	FBgn0085407	FBgn0025621	34030	33995	31026
FBgn0031926	FBgn0002938	FBgn0025616	34037	34012	31028
FBgn0031942	FBgn0031999	FBgn0015799	34055	34118	31027
FBgn0011230	FBgn0032129	FBgn0025620	46243	34274	31025
FBgn0032006	FBgn0051709	FBgn0015288	34127	261620	31022
FBgn0032013	FBgn0027491	FBgn0025639	34135	34385	31015
FBgn0032066	FBgn0264308	FBgn0002579	34203	34738	31009
FBgn0032136	FBgn0032535	FBgn0026879	34283	34806	50364
FBgn0032151	FBgn0016930	FBgn0029529	34304	34831	31005
FBgn0032296	FBgn0028888	FBgn0025633	34484	34889	31004
FBgn0262599	FBgn0028645	FBgn0040339	34502	34939	31038
FBgn0027363	FBgn0266898	FBgn0052815	34505	NA	318224
FBgn0263019	FBgn0243486	FBgn0042146	NA	35077	59184
FBgn0010497	FBgn0032857	FBgn0029552	47253	35309	31049
FBgn0259176	FBgn0051619	FBgn0040365	34665	35424	31057
FBgn0263598	FBgn0033246	FBgn0040397	45012	35761	31056
FBgn0262160	FBgn0261588	FBgn0040338	34701	35813	31048
FBgn0284244	FBgn0265305	FBgn0040350	34731	NA	31047
FBgn0023407	FBgn0033438	FBgn0040349	34767	35997	31046
FBgn0028543	FBgn0005619	FBgn0040348	260645	36076	31045
FBgn0003016	FBgn0283521	FBgn0040346	34850	44548	31043
FBgn0028507	FBgn0005586	FBgn0040342	34928	36127	53540
FBgn0032586	FBgn0050021	FBgn0040345	34984	36176	31039
FBgn0264695	FBgn0260964	FBgn0040364	35007	3346192	31060
FBgn0085370	FBgn0020269	FBgn0040362	35107	36632	31062
FBgn0032694	FBgn0033958	FBgn0040359	35116	36634	31065
FBgn0032782	FBgn0264089	FBgn0029568	35221	36746	31067
FBgn0015803	FBgn0034137	FBgn0040367	35306	36850	31069
FBgn0266886	FBgn0034158	FBgn0025642	NA	36881	31074
FBgn0011202	FBgn0034196	FBgn0004650	35340	36933	45973
FBgn0032940	FBgn0050147	FBgn0024362	35402	37328	31079
FBgn0053554	FBgn0000615	FBgn0024364	35483	37345	31083
FBgn0014009	FBgn0085426	FBgn0029573	35577	5740446	31085
FBgn0029506	FBgn0050404	FBgn0024987	35614	246596	31086
FBgn0033212	FBgn0085399	FBgn0023169	35715	5740565	43904
FBgn0050344	FBgn0034689	FBgn0052813	246552	37515	31089
FBgn0033402	FBgn0000562	FBgn0024985	35956	37757	31090
FBgn0027580	FBgn0004055	FBgn0027794	36020	38002	31095
FBgn0261698	FBgn0035171	FBgn0027795	5740325	38102	31094
FBgn0003396	FBgn0035204	FBgn0024986	36171	38148	44736
FBgn0033592	FBgn0035280	FBgn0000826	36182	38240	31084
FBgn0010423	FBgn0264002	FBgn0024365	36195	38296	31082
FBgn0033710	FBgn0011828	FBgn0024360	36333	38326	31081
FBgn0050203	FBgn0262593	FBgn0024366	246514	38352	31078
FBgn0033728	FBgn0035538	FBgn0025641	36351	38539	31075
FBgn0033733	FBgn0035649	FBgn0028550	36356	38666	43867
FBgn0033739	FBgn0266084	FBgn0026876	36362	39004	31072
FBgn0010238	FBgn0040305	FBgn0040366	36363	39089	31070
FBgn0003326	FBgn0036007	FBgn0040368	36411	39106	31059
FBgn0033782	FBgn0036116	FBgn0029580	36424	39232	31100
FBgn0265186	FBgn0052091	FBgn0025383	36429	39307	31102
FBgn0033787	FBgn0036333	FBgn0025394	36430	39475	31110
FBgn0033788	FBgn0036373	FBgn0001189	36433	39521	31120
FBgn0053182	FBgn0264001	FBgn0025378	318918	39527	31128
FBgn0002789	FBgn0036454	FBgn0023130	36468	39616	31127
FBgn0033867	FBgn0036497	FBgn0023530	36523	39666	31119
FBgn0262739	FBgn0036520	FBgn0025390	36544	39695	31111
FBgn0050069	FBgn0264908	FBgn0003517	36573	39730	31106
FBgn0263980	FBgn0036563	FBgn0025382	5740318	39756	31103
FBgn0260429	FBgn0052183	FBgn0027791	8674084	39972	31098
FBgn0023441	FBgn0003089	FBgn0027793	44095	40104	31096
FBgn0265991	FBgn0261953	FBgn0026873	36740	40398	31140
FBgn0265045	FBgn0037153	FBgn0023513	36753	40453	31142
FBgn0034071	FBgn0267337	FBgn0014411	36772	40879	31144
FBgn0086676	FBgn0261393	FBgn0023514	45380	40905	31146
FBgn0034110	FBgn0038511	FBgn0029594	36821	42100	31148
FBgn0004580	FBgn0003499	FBgn0023519	36905	42162	31150
FBgn0023172	FBgn0004652	FBgn0023509	36915	42226	31153
FBgn0050456	FBgn0024963	FBgn0023508	36929	42350	31157
FBgn0034200	FBgn0039039	FBgn0023522	36937	42717	31158
FBgn0265487	FBgn0004882	FBgn0023521	36945	42752	31160
FBgn0034253	FBgn0039078	FBgn0025630	37000	42767	31175
FBgn0034292	FBgn0020647	FBgn0025629	37055	42843	31176
FBgn0003520	FBgn0016061	FBgn0025628	37065	43300	31174
FBgn0265297	FBgn0266579	FBgn0029596	37070	326116	31172
FBgn0013983	FBgn0085382	FBgn0025626	44339	5740590	31171
FBgn0050115	FBgn0039804	FBgn0025625	37134	43655	31170
FBgn0034387	FBgn0016123	FBgn0000667	37163	43671	31166
FBgn0034391	FBgn0030499	FBgn0023545	37167	32315	31163
FBgn0010651	FBgn0008635	FBgn0023520	46085	32820	2768908
FBgn0034399	NA	FBgn0023512	37175	NA	31156
FBgn0034418	NA	FBgn0023511	37199	NA	31154
FBgn0010434	NA	FBgn0023518	37205	NA	31149
FBgn0086358	NA	FBgn0026088	37216	NA	31147
FBgn0034438	NA	FBgn0026089	37223	NA	31145
FBgn0034470	NA	FBgn0023517	37266	NA	31143
FBgn0034480	NA	FBgn0023516	37276	NA	31141
FBgn0034501	NA	FBgn0023515	37302	NA	31139
FBgn0028622	NA	FBgn0028969	47065	NA	45250
FBgn0267791	NA	FBgn0026090	43862	NA	31137
FBgn0011674	NA	FBgn0025624	37355	NA	31177
FBgn0050295	NA	FBgn0040395	37360	NA	31179
FBgn0000044	NA	FBgn0000382	37368	NA	45278
FBgn0034563	NA	FBgn0023507	37371	NA	31184
FBgn0034590	NA	FBgn0004654	37403	NA	31185
FBgn0003162	NA	FBgn0023540	37415	NA	31189
FBgn0003891	NA	FBgn0025839	37417	NA	31190
FBgn0000395	NA	FBgn0015036	45280	NA	31193
FBgn0010415	NA	FBgn0003116	37447	NA	31194
FBgn0026369	NA	FBgn0040899	44263	NA	50373
FBgn0003731	NA	FBgn0040900	37455	NA	50374
FBgn0085397	NA	FBgn0024984	5740472	NA	31196
FBgn0067102	NA	FBgn0023549	37516	NA	31198
FBgn0034717	NA	FBgn0003048	37547	NA	31204
FBgn0013272	NA	FBgn0000810	37549	NA	47781
FBgn0085452	NA	FBgn0023527	5740313	NA	31213
FBgn0034860	NA	FBgn0003079	37709	NA	31221
FBgn0015372	NA	FBgn0003159	44172	NA	44529
FBgn0015277	NA	FBgn0040389	37733	NA	31222
FBgn0034903	NA	FBgn0023526	37762	NA	31217
FBgn0261794	NA	FBgn0023529	37800	NA	31215
FBgn0053519	NA	FBgn0023528	3346201	NA	31214
FBgn0283666	NA	FBgn0027296	37850	NA	31212
FBgn0019643	NA	FBgn0023524	37867	NA	31211
FBgn0041205	NA	FBgn0023525	37967	NA	31209
FBgn0052479	NA	FBgn0000377	38103	NA	31208
FBgn0024277	NA	FBgn0001330	43974	NA	31205
FBgn0025525	NA	FBgn0004397	44254	NA	31201
FBgn0035227	NA	FBgn0023542	38176	NA	31195
FBgn0041342	NA	FBgn0005670	117353	NA	31188
FBgn0035237	NA	FBgn0004655	38186	NA	31187
FBgn0025712	NA	FBgn0013432	38203	NA	31186
FBgn0035267	NA	FBgn0004861	38222	NA	31181
FBgn0250789	NA	FBgn0004860	38231	NA	44889
FBgn0035293	NA	FBgn0040394	38255	NA	31178
FBgn0265988	NA	FBgn0040376	38259	NA	31236
FBgn0044452	NA	FBgn0040066	38344	NA	53428
FBgn0035427	NA	FBgn0001404	38402	NA	31239
FBgn0035439	NA	FBgn0040336	38414	NA	31245
FBgn0004167	NA	FBgn0040333	38418	NA	31246
FBgn0259224	NA	FBgn0040334	38430	NA	31244
FBgn0004516	NA	FBgn0029629	38484	NA	31243
FBgn0264693	NA	FBgn0011566	38491	NA	44554
FBgn0035529	NA	FBgn0011606	38530	NA	31240
FBgn0035583	NA	FBgn0040375	38588	NA	31237
FBgn0016031	NA	FBgn0040377	38610	NA	31235
FBgn0052407	NA	FBgn0040388	38667	NA	31229
FBgn0261445	NA	FBgn0003714	38760	NA	31228
FBgn0035756	NA	FBgn0003371	38801	NA	31248
FBgn0035802	NA	FBgn0003068	2768948	NA	31251
FBgn0003149	NA	FBgn0024993	39002	NA	31254
FBgn0085485	NA	FBgn0024996	5740168	NA	31256
FBgn0036040	NA	FBgn0024997	39144	NA	31258
FBgn0036053	NA	FBgn0024991	39160	NA	31260
FBgn0025866	NA	FBgn0000928	39165	NA	31262
FBgn0261553	NA	FBgn0000927	39268	NA	31263
FBgn0086254	NA	FBgn0000520	39304	NA	31265
FBgn0036208	NA	FBgn0024975	39333	NA	31267
FBgn0036302	NA	FBgn0024980	39438	NA	31269
FBgn0052107	NA	FBgn0000376	317856	NA	NA
FBgn0036337	NA	FBgn0024973	39479	NA	31261
FBgn0023095	NA	FBgn0024998	39493	NA	31259
FBgn0086708	NA	FBgn0024995	39518	NA	31257
FBgn0013718	NA	FBgn0024994	39572	NA	31255
FBgn0036448	NA	FBgn0024992	39610	NA	31253
FBgn0261565	NA	FBgn0000092	39889	NA	31252
FBgn0036728	NA	FBgn0025838	39950	NA	31250
FBgn0036732	NA	FBgn0004647	39954	NA	31293
FBgn0036741	NA	FBgn0040396	39965	NA	31295
FBgn0000568	NA	FBgn0000479	39999	NA	31309
FBgn0036780	NA	FBgn0000644	40007	NA	31294
FBgn0036876	NA	FBgn0028746	40118	NA	59253
FBgn0036881	NA	FBgn0028369	40123	NA	31292
FBgn0036939	NA	FBgn0044046	40200	NA	31328
FBgn0261556	NA	FBgn0023215	40205	NA	31331
