term	name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Anno
GO:0016199	axon midline choice point recognition	26	5	18.6	9.18	6e-06	6e-05	23.8	6.88	66.6	16	Process	33607, 36746, 42226, 44548, 46015	317817, 32746, 33607, 34192, 34453, 34790, 36377, 36384, 36542, 36746, 37603, 38137, 38146, 38231, 39433, 39717, 39958, 40680, 40940, 42226, 42496, 43832, 44355, 44548, 45821, 46015
GO:0007411	axon guidance	155	7	4.37	4.32	0.0011	0.0055	4.77	1.84	10.4	14	Process	35555, 35813, 36746, 36790, 38002, 44548, 46015	117332, 246538, 249072, 261629, 31239, 31293, 31620, 31622, 31738, 32078, 32115, 32119, 32256, 32275, 32398, 32400, 32661, 32746, 32838, 32920, 32981, 33148, 33185, 33262, 33314, 33474, 33770, 33834, 33896, 33916, 33968, 34192, 34453, 34636, 34772, 34945, 34947, 34982, 35070, 35097, 35147, 35197, 35207, 35259, 35524, 35555, 35652, 35813, 35851, 35900, 36041, 36125, 36240, 36283, 36295, 36377, 36431, 36614, 36673, 36692, 36702, 36703, 36746, 36773, 36775, 36790, 36810, 36846, 36876, 37007, 37066, 37201, 37230, 37254, 37386, 37447, 37528, 37603, 37837, 37886, 37888, 38002, 38146, 38350, 38516, 38578, 38611, 38654, 38748, 39157, 39203, 39215, 39443, 39493, 39570, 39596, 39717, 39958, 40030, 40090, 40225, 40391, 40456, 40699, 40861, 41118, 41225, 41309, 41363, 41612, 41737, 41772, 41830, 41840, 41861, 41952, 42186, 42496, 42499, 42510, 42549, 42835, 42871, 42944, 43080, 43766, 43799, 43832, 43873, 43901, 43904, 43974, 44030, 44205, 44235, 44275, 44355, 44548, 44642, 44748, 44801, 44885, 45328, 45821, 45830, 45976, 46015, 46068, 47080, 47396, 48448, 48973, 49260, 53425, 53563
GO:0046331	lateral inhibition	172	6	3.37	3.21	0.0088	0.026	3.6	1.27	8.29	8	Process	318824, 326116, 35997, 36746, 37345, 46015	31047, 31204, 31293, 31309, 31347, 31451, 31603, 31715, 31728, 31798, 318044, 31869, 318824, 31962, 31967, 32005, 32303, 32479, 326116, 32627, 32631, 32723, 32763, 33003, 33025, 33274, 33438, 33591, 33602, 33619, 33637, 33641, 33651, 33656, 33686, 33739, 33782, 33790, 33920, 33959, 33968, 34330, 34414, 34423, 34449, 34480, 34503, 34573, 34592, 34794, 34881, 34919, 34985, 35009, 35056, 35107, 35207, 35311, 35327, 35366, 35427, 35759, 35795, 35816, 35997, 36329, 36411, 36527, 36545, 36564, 36606, 36746, 36762, 37216, 37310, 37345, 37364, 37576, 37921, 37931, 38028, 38065, 38136, 38290, 38492, 38884, 38963, 39049, 39153, 39340, 39423, 39443, 39493, 39518, 39612, 39647, 39750, 39915, 39922, 40063, 40105, 40147, 40190, 40201, 40260, 40308, 40487, 40607, 40683, 40699, 40711, 40761, 40793, 40919, 40973, 41021, 41037, 41062, 41085, 41189, 41261, 41543, 41704, 41748, 41864, 42077, 42128, 42218, 42221, 42256, 42313, 42445, 42567, 42661, 42751, 42759, 42836, 42926, 42964, 43162, 43166, 43170, 43262, 43275, 43414, 43466, 43549, 43654, 43729, 43798, 43829, 43869, 43974, 44010, 44011, 44046, 44096, 44154, 44226, 44724, 44728, 44747, 44811, 44861, 46015, 46020, 46059, 48448, 53473, 53562, 53580, 5740318
GO:0006355	regulation of transcription, DNA-templated	291	8	2.66	2.93	0.01	0.026	2.84	1.18	5.9	7	Process	2768719, 33607, 35555, 35813, 40398, 42162, 42717, 44548	14462485, 2768661, 2768719, 2768848, 2768981, 31162, 31178, 31248, 31250, 31331, 31353, 31362, 31391, 31429, 31622, 31678, 31680, 31738, 317817, 31802, 31807, 31813, 31913, 32114, 32278, 32301, 32321, 32457, 32461, 32543, 32723, 32757, 32758, 32817, 33044, 33183, 33225, 33229, 33232, 33239, 33294, 33422, 3346145, 33496, 3354888, 3355109, 3355136, 3355151, 33581, 33607, 33692, 33759, 33770, 33823, 33973, 34119, 34172, 34242, 34293, 34328, 34371, 34379, 34395, 34429, 34516, 34568, 34569, 34629, 34665, 34673, 34708, 34837, 34883, 34888, 34901, 35047, 35066, 35132, 35135, 35168, 35184, 35227, 35332, 35398, 35402, 35480, 35483, 35485, 35490, 35501, 35555, 35662, 35682, 35717, 35813, 35880, 35942, 35952, 36032, 36275, 36276, 36373, 36382, 36390, 36461, 36575, 36685, 36702, 36750, 37149, 37216, 37364, 37546, 37730, 37788, 37798, 37822, 37859, 37871, 37874, 37886, 37889, 38004, 38005, 38027, 38055, 38065, 38116, 38451, 38465, 38469, 38518, 38565, 38639, 38700, 38752, 38766, 3885647, 3885665, 38884, 38963, 39039, 39164, 39240, 39377, 39405, 39418, 39431, 39439, 39441, 39567, 39569, 39570, 39581, 39765, 39875, 39961, 39962, 39999, 40030, 40035, 40045, 40095, 40133, 40134, 40162, 40217, 40279, 40285, 40287, 40297, 40345, 40358, 40378, 40398, 40428, 40429, 40562, 40657, 40683, 40693, 40785, 40794, 40813, 40830, 40834, 40842, 40850, 40934, 40937, 40940, 40966, 41084, 41105, 41168, 41182, 41199, 41228, 41266, 41363, 41406, 41461, 41491, 41524, 41526, 41549, 41602, 41697, 41747, 41780, 41944, 41988, 42034, 42037, 42130, 42162, 42173, 42177, 42182, 42210, 42300, 42428, 42433, 42541, 42717, 42757, 42930, 42952, 42993, 43020, 43156, 43162, 43174, 43190, 43236, 43293, 43334, 43378, 43383, 43398, 43566, 43572, 43580, 43725, 43751, 43767, 43769, 43782, 43795, 43812, 43819, 43825, 43833, 43844, 44108, 44205, 44226, 44238, 44254, 44272, 44275, 44451, 44540, 44544, 44548, 44669, 44849, 44855, 44936, 45039, 45285, 45318, 45328, 45339, 45432, 45816, 47249, 47285, 47767, 47894, 47900, 48785, 49816, 50403, 53446, 53560, 53579, 5740176, 5740592, 5740879, 64875
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	161	5	3	2.62	0.026	0.051	3.17	0.993	7.79	12	Process	33607, 35555, 39089, 40398, 42717	2768981, 31151, 31293, 31429, 31681, 317817, 31802, 31834, 32114, 32273, 32457, 32536, 32567, 32579, 32630, 32792, 32817, 33255, 33419, 33529, 33583, 33602, 33607, 33769, 33770, 33916, 34102, 34629, 34875, 34881, 34903, 34992, 35045, 35047, 35147, 35227, 35341, 35523, 35540, 35555, 35662, 35956, 35974, 36057, 36073, 36171, 36240, 36241, 36264, 36387, 36390, 36421, 36555, 36560, 36678, 37038, 37068, 37336, 37471, 37476, 37492, 37655, 3772082, 37734, 37795, 37851, 37889, 37890, 37967, 37978, 38065, 38198, 38338, 38381, 38478, 38527, 38543, 38752, 38766, 38821, 38872, 38982, 39036, 39039, 39089, 39313, 39439, 39440, 39570, 39682, 39765, 39842, 39962, 39987, 40045, 40162, 40398, 40790, 40813, 40817, 40830, 40832, 40833, 40834, 40835, 40940, 41032, 41084, 41105, 41273, 41290, 41498, 41612, 41709, 41945, 42037, 42175, 42210, 42550, 42717, 42743, 42750, 42757, 42822, 43174, 43222, 43284, 43383, 43572, 43580, 43718, 43767, 43769, 43793, 43812, 43825, 43833, 43856, 43928, 44271, 44275, 44849, 44936, 45318, 45325, 45816, 45848, 45871, 45960, 47080, 47082, 47763, 47767, 47900, 48317, 49638, 50143, 53442, 53446, 53579, 5740592
GO:0006909	phagocytosis	181	5	2.67	2.32	0.04	0.066	2.8	0.88	6.88	6	Process	32820, 33638, 38326, 38978, 42162	2768940, 30998, 31030, 31071, 31179, 31201, 31244, 31329, 31331, 31344, 31521, 31593, 31656, 31678, 31708, 31873, 318930, 31907, 32221, 32225, 32318, 32441, 32752, 32777, 32820, 32846, 32877, 32981, 33014, 33165, 33219, 33270, 33289, 33353, 33434, 33444, 33470, 33581, 33621, 33638, 33864, 33896, 33898, 33981, 34044, 34045, 34063, 34096, 34225, 34432, 34519, 34772, 34778, 34816, 34965, 34966, 34968, 34969, 35021, 35095, 35099, 35169, 35193, 35197, 35231, 35315, 35332, 35368, 35483, 35526, 35560, 35652, 35784, 36057, 36161, 36337, 36513, 36514, 36656, 36692, 36830, 36897, 36984, 36989, 37232, 37339, 37387, 37617, 37785, 37795, 37837, 37895, 37986, 38146, 38199, 38218, 38259, 38326, 38410, 38456, 38614, 38652, 38654, 38721, 38871, 38898, 38978, 39063, 39143, 39301, 39302, 39317, 39329, 39405, 39440, 39505, 39567, 39669, 39744, 39764, 39812, 39862, 39877, 39905, 39930, 39949, 40117, 40155, 40200, 40201, 40232, 40233, 40385, 40462, 40542, 40693, 40866, 40912, 40924, 41363, 41533, 41551, 41576, 41675, 41718, 41811, 41861, 41883, 41885, 41944, 42109, 42162, 42498, 42531, 42649, 42735, 42757, 42816, 42894, 42897, 42898, 43262, 43265, 43277, 43500, 43507, 43565, 43600, 43660, 43717, 43816, 43873, 43904, 44006, 44260, 45250, 45959, 46008, 46121, 47091, 49260
GO:0048477	oogenesis	209	5	2.31	1.96	0.065	0.093	2.41	0.758	5.9	7	Process	34609, 35997, 37757, 40104, 42752	117353, 2768677, 2768981, 31151, 31239, 31247, 31248, 31262, 31293, 31309, 31358, 31405, 31429, 31442, 31566, 31603, 31717, 317826, 31789, 318102, 318579, 31938, 32057, 32078, 32080, 32367, 32458, 32608, 326153, 32660, 32677, 32796, 32965, 32981, 33281, 33290, 33418, 33432, 3346149, 33498, 33505, 33507, 33611, 33711, 33716, 33796, 33829, 33835, 33881, 33943, 34070, 34132, 34284, 34524, 34609, 34648, 34665, 34688, 34709, 34772, 34924, 34969, 35051, 35197, 35259, 35293, 35380, 35381, 35540, 35680, 35731, 35851, 35997, 36001, 36269, 36311, 36380, 36409, 36461, 36499, 36645, 36788, 36791, 36959, 37065, 37070, 37090, 37141, 37215, 37230, 37386, 37402, 37455, 37619, 3772180, 3772583, 37757, 37962, 38007, 38017, 38291, 38389, 38427, 38565, 38580, 38639, 38654, 38811, 38816, 38905, 39198, 39241, 39377, 39494, 39536, 39550, 39551, 39554, 39744, 39770, 39879, 39962, 39999, 40061, 40104, 40133, 40191, 40201, 40217, 40314, 40489, 40680, 40714, 40830, 40935, 41066, 41084, 41094, 41260, 41431, 41569, 41666, 41718, 41746, 41770, 41785, 41852, 41911, 41919, 41942, 41952, 41957, 42000, 42283, 42297, 42300, 42313, 42428, 42446, 42500, 42501, 42502, 42632, 42695, 42752, 42862, 42880, 42889, 42896, 42946, 43038, 43385, 43415, 43439, 43565, 43572, 43577, 43580, 43767, 43768, 43873, 43901, 44030, 44540, 44543, 44793, 44887, 45021, 45233, 45360, 45380, 45655, 45826, 45931, 45959, 45973, 45976, 46121, 46234, 47781, 47873, 48309, 48973, 48986, 49070, 49077, 49228, 49260, 53438
GO:0055085	transmembrane transport	221	5	2.19	1.82	0.079	0.099	2.27	0.716	5.56	4	Process	33427, 3346192, 34686, 36634, 38352	117368, 246519, 246552, 246553, 249663, 2768938, 2768939, 30994, 31047, 31198, 31553, 31612, 31614, 31653, 31674, 318594, 318649, 318681, 318887, 32008, 32127, 32208, 32263, 32401, 32468, 326130, 326161, 32780, 32851, 32915, 32923, 32924, 32925, 32926, 32992, 33167, 33292, 33427, 3346192, 33545, 33547, 33548, 3354861, 3354990, 3354991, 3354992, 33599, 33600, 33650, 33685, 33695, 33700, 33832, 33939, 33961, 33987, 34117, 34140, 34148, 34330, 34350, 34390, 34499, 34500, 34509, 34686, 34890, 35111, 35334, 35366, 35376, 35499, 35513, 35520, 35521, 35697, 35745, 35774, 35857, 35858, 35860, 35935, 36071, 36236, 36237, 36263, 36381, 36393, 36428, 36458, 36577, 36582, 36589, 36634, 36694, 36764, 36806, 36994, 37025, 37047, 37168, 37170, 37275, 37287, 37294, 37427, 37479, 37614, 37624, 37625, 37736, 37737, 37843, 38109, 38193, 38255, 38299, 38352, 38373, 38662, 38664, 38689, 38725, 38726, 38808, 38813, 38976, 39314, 39322, 39367, 39415, 39458, 39461, 39471, 39626, 39759, 39914, 39965, 40039, 40049, 40080, 40129, 40437, 40441, 40551, 40552, 40727, 40728, 40866, 40867, 41075, 41259, 41287, 41316, 41342, 41368, 41428, 41448, 41590, 41789, 41847, 41882, 41901, 41902, 41962, 41963, 41967, 41975, 42019, 42036, 42115, 42257, 42334, 42335, 42336, 42337, 42338, 42339, 42362, 42376, 42377, 42423, 42426, 42429, 42481, 42500, 42510, 42606, 42890, 42891, 42893, 42928, 42950, 42962, 43030, 43136, 43353, 43445, 43450, 43533, 43616, 43634, 43636, 43677, 43742, 43743, 43744, 43772, 43786, 44268, 44269, 44978, 45248, 45338, 45380, 45883, 46085, 47253, 47905, 48805, 5740840
GO:0055114	oxidation-reduction process	289	5	1.67	1.19	0.18	0.2	1.72	0.542	4.19	4	Process	33439, 38326, 39336, 40453, 42100	117361, 117369, 192507, 19836250, 19893558, 19988923, 246522, 246648, 246663, 2768720, 2768870, 30995, 31174, 31184, 31185, 31188, 31193, 31404, 31406, 31407, 31718, 31760, 31765, 31781, 31845, 31858, 318720, 318753, 318781, 318878, 32058, 32093, 32138, 32170, 32172, 32300, 32325, 32377, 32399, 32444, 32545, 326111, 326112, 326113, 326114, 326189, 326221, 326254, 32768, 32858, 32907, 32974, 32991, 33056, 33190, 33420, 33421, 33438, 33439, 33477, 33493, 33521, 3355111, 33748, 33749, 33824, 33837, 33883, 33955, 34036, 34060, 34258, 34259, 34291, 34302, 34392, 34414, 34443, 34495, 34552, 34554, 34817, 35061, 35106, 35156, 35179, 35183, 35189, 35264, 35296, 35347, 35348, 35407, 35543, 35561, 35575, 35586, 35608, 35634, 35635, 35670, 35687, 35689, 35728, 35821, 35822, 35835, 35837, 36033, 36098, 36101, 36128, 36174, 36203, 36232, 36280, 36316, 36317, 36318, 36378, 36412, 36464, 36481, 36510, 36540, 36624, 36661, 36662, 36664, 36665, 36666, 36667, 36669, 36752, 36768, 36816, 36839, 36878, 36904, 37026, 37163, 37194, 37217, 37227, 37485, 37551, 37585, 37672, 3771779, 37809, 37814, 37823, 37900, 38121, 38326, 38378, 38462, 38463, 38500, 38514, 38746, 38760, 38841, 3885583, 38871, 38901, 38956, 38979, 39024, 39251, 39265, 39276, 39304, 39305, 39336, 39391, 39424, 39592, 39658, 39675, 39758, 39812, 39817, 39862, 39878, 39918, 40005, 40037, 40048, 40059, 40097, 40161, 40217, 40263, 40339, 40434, 40443, 40445, 40453, 40475, 40623, 40633, 40708, 40836, 40875, 40925, 40946, 41019, 41022, 41207, 41253, 41272, 41279, 41309, 41313, 41369, 41452, 41454, 41520, 41521, 41563, 41602, 41605, 41629, 41650, 41895, 41896, 41994, 42003, 42049, 42054, 42092, 42100, 42109, 42131, 42284, 42293, 42294, 42364, 42582, 42583, 42624, 42653, 42654, 42682, 42756, 42787, 42788, 42803, 42939, 42948, 43092, 43133, 43178, 43244, 43304, 43416, 43586, 43591, 43592, 43593, 43620, 43627, 43628, 43638, 43640, 43663, 43873, 43936, 44006, 44632, 44701, 44858, 45398, 45556, 45880, 46035, 47173, 47895, 49427, 49847, 50001, 53577, 53578, 5740310, 5740359, 5740633, 59169, 59175
GO:0008150	biological_process	1156	8	0.669	-1.22	0.92	0.92	0.64	0.268	1.32	1	Process	261620, 33554, 34274, 34738, 36933, 38102, 39695, 5740565	10178781, 10178787, 10178792, 10178793, 10178817, 10178823, 10178824, 10178825, 10178828, 10178831, 10178844, 10178851, 10178853, 10178857, 10178862, 10178866, 10178875, 10178880, 10178900, 10178901, 10178906, 10178908, 10178911, 10178913, 10178914, 10178926, 10178927, 10178933, 10178943, 10178945, 10178946, 10178963, 10178965, 12797860, 12797872, 12797873, 12797875, 12797876, 12797883, 12797888, 12797889, 12797893, 12797917, 12797938, 12797946, 12797970, 12797978, 12797979, 12797990, 12797997, 12798001, 12798006, 12798009, 12798044, 12798047, 12798054, 12798056, 12798106, 12798107, 12798108, 12798120, 12798121, 12798122, 12798138, 12798144, 12798151, 12798159, 12798184, 12798207, 12798214, 12798240, 12798252, 12798253, 12798254, 12798256, 12798257, 12798272, 12798276, 12798298, 12798305, 12798317, 12798325, 12798326, 12798327, 12798331, 12798338, 12798340, 12798350, 12798363, 12798364, 12798369, 12798379, 12798405, 12798408, 12798422, 12798428, 12798449, 12798457, 12798458, 12798459, 12798461, 12798466, 12798476, 12798528, 12798539, 12798570, 12798583, 12798585, 14462464, 14462475, 14462476, 14462489, 14462537, 14462557, 14462585, 14462591, 14462623, 14462625, 14462673, 14462674, 14462678, 14462693, 14462699, 14462778, 14462830, 14462838, 14462840, 14462845, 14462897, 14462901, 14462915, 192535, 19834757, 19834760, 19834814, 19834892, 19834907, 19834929, 19835010, 19835072, 19835136, 19835236, 19835258, 19835307, 19835597, 19835727, 19835876, 19835889, 19835900, 19835998, 19836004, 19836050, 19836089, 19836175, 19836228, 19836253, 246383, 246399, 246411, 246415, 246418, 246437, 246445, 246454, 246459, 246460, 246461, 246484, 246485, 246487, 246500, 246506, 246510, 246518, 246528, 246540, 246562, 246572, 246576, 246579, 246580, 246583, 246603, 246606, 246611, 246621, 246644, 251711, 251937, 260658, 260659, 261618, 261620, 261634, 2768664, 2768665, 2768669, 2768680, 2768682, 2768732, 2768832, 2768833, 2768867, 2768871, 2768903, 2768911, 2768917, 2768925, 2768926, 2768932, 2768945, 2768951, 2768954, 2768962, 2768969, 2768970, 2768971, 2768984, 2768986, 2768993, 2768994, 2768995, 2768999, 2769001, 30996, 31031, 31049, 31079, 31121, 31139, 31147, 31148, 31158, 31172, 31186, 31211, 31260, 31294, 31356, 31369, 31371, 31372, 31393, 31412, 31414, 31415, 31461, 31472, 31515, 31516, 31533, 31540, 31541, 31586, 31592, 31629, 31657, 31714, 31748, 31770, 317823, 317827, 317834, 317849, 317855, 317856, 317862, 317864, 317887, 317891, 317908, 317909, 317913, 317933, 317934, 317935, 317946, 317952, 317969, 317973, 317997, 318031, 318032, 318035, 318040, 318042, 318079, 318082, 318101, 318103, 318107, 318109, 318128, 318140, 318164, 318165, 318166, 318168, 318169, 318175, 318176, 318189, 318207, 318224, 318225, 318237, 318251, 318261, 31830, 31831, 31841, 31844, 31855, 318567, 318571, 318574, 318599, 318601, 318608, 318616, 318625, 318627, 318633, 318638, 318657, 318662, 318666, 318668, 318684, 318741, 318746, 318788, 318834, 318835, 318840, 318860, 318866, 318868, 318872, 318879, 318892, 318894, 31890, 318909, 318922, 318939, 318943, 318947, 318951, 31896, 318960, 31898, 318989, 318998, 319000, 319011, 319012, 319014, 319042, 319045, 319064, 31914, 31919, 31944, 32019, 32024, 32035, 32074, 32075, 32084, 32214, 32216, 32295, 32298, 32299, 32360, 32366, 32385, 32386, 32440, 32452, 32454, 32467, 32490, 32493, 32503, 32507, 32509, 32515, 32529, 32541, 32542, 32570, 32573, 32605, 326123, 326135, 326165, 326191, 326199, 326202, 326226, 326227, 326257, 326329, 32643, 32654, 32668, 32670, 32682, 32690, 32708, 32727, 32765, 32767, 32788, 32825, 32885, 32895, 32909, 32914, 32937, 32964, 32967, 32971, 32980, 32982, 33006, 33019, 33024, 33031, 33058, 33120, 33125, 33128, 33134, 33147, 33233, 33272, 33276, 33299, 33301, 33303, 33313, 33398, 33437, 33455, 3346162, 3346166, 3346177, 3346206, 3346223, 3346224, 3346225, 33466, 33472, 33488, 33519, 33535, 3354890, 3354922, 3355108, 3355132, 3355158, 3355160, 3355167, 3355174, 33554, 33577, 33594, 33617, 33630, 33644, 33646, 33696, 33757, 33792, 338395, 33850, 33883, 33949, 33956, 33976, 33979, 33984, 34002, 34023, 34072, 34089, 34106, 34116, 34157, 34164, 34183, 34202, 34209, 34211, 34212, 34220, 34234, 34240, 34269, 34274, 34278, 34320, 34334, 34335, 34341, 34351, 34354, 34356, 34372, 34373, 34386, 34462, 34514, 34540, 34551, 34583, 34584, 34585, 34588, 34590, 34644, 34682, 34683, 34700, 34710, 34738, 34741, 34742, 34830, 34850, 34853, 34874, 34970, 34987, 35032, 35033, 35046, 35063, 35064, 35074, 35076, 35080, 35089, 35103, 35129, 35150, 35167, 35189, 35200, 35205, 35244, 35254, 35263, 35282, 35300, 35314, 35331, 35354, 35355, 35405, 35421, 35432, 35434, 35500, 35515, 35519, 35612, 35613, 35614, 35616, 35617, 35618, 35621, 35622, 35624, 35628, 35629, 35647, 35672, 35673, 35710, 35803, 35804, 35805, 35850, 35867, 35897, 35901, 35987, 36042, 36056, 36077, 36078, 36146, 36172, 36202, 36208, 36282, 36319, 36323, 36324, 36327, 36332, 36346, 36398, 36425, 36427, 36429, 36438, 36439, 36446, 36459, 36470, 36477, 36479, 36485, 36534, 36597, 36626, 36628, 36639, 36650, 36675, 36676, 36696, 36726, 36761, 36770, 36803, 36808, 36811, 36815, 36818, 36856, 36862, 36916, 36933, 37030, 37056, 37057, 37058, 37063, 37076, 37080, 37084, 37124, 37125, 37156, 37164, 37165, 37173, 37176, 37178, 37249, 37256, 37261, 37280, 37298, 37307, 37308, 37317, 37331, 37401, 37403, 37431, 37433, 37434, 37443, 37475, 37484, 37497, 37510, 37514, 37518, 37574, 37599, 37632, 37635, 37641, 37646, 37661, 37666, 37667, 37686, 37689, 37691, 37694, 37708, 37710, 3771749, 37719, 3772084, 3772359, 3772383, 3772412, 3772423, 3772436, 37761, 37862, 37866, 37919, 37928, 37934, 37947, 37972, 37987, 37988, 37993, 37996, 38064, 38081, 38088, 38094, 38102, 38187, 38192, 38197, 38200, 38222, 38238, 38263, 38274, 38277, 38278, 38281, 38283, 38306, 38324, 38329, 38364, 38399, 38414, 38445, 38452, 38467, 38523, 38533, 38562, 38628, 38629, 38637, 38744, 38745, 38761, 38764, 38771, 38791, 38814, 38820, 3885570, 3885577, 3885583, 3885585, 3885589, 3885592, 3885596, 3885601, 3885606, 3885620, 3885627, 3885632, 3885637, 3885640, 3885643, 3885645, 3885646, 3885655, 38873, 38881, 38918, 38920, 38931, 38956, 38966, 39017, 39025, 39033, 39040, 39092, 39111, 39135, 39159, 39186, 39201, 39210, 39221, 39234, 39260, 39374, 39381, 39382, 39397, 39420, 39425, 39438, 39446, 39447, 39451, 39467, 39473, 39501, 39506, 39507, 39560, 39593, 39624, 39649, 39667, 39672, 39687, 39695, 39716, 39724, 39738, 39778, 39804, 39825, 39857, 39882, 39888, 39896, 39928, 39951, 39953, 39995, 40084, 40088, 40102, 40130, 40132, 40181, 40183, 40184, 40220, 40258, 40301, 40324, 40331, 40341, 40343, 40356, 40357, 40376, 40382, 40386, 40394, 40404, 40409, 40416, 40439, 40447, 40448, 40449, 40474, 40491, 40504, 40545, 40547, 40557, 40579, 40603, 40604, 40614, 40647, 40652, 40666, 40697, 40718, 40721, 40722, 40729, 40755, 40756, 40759, 40760, 40766, 40771, 40776, 40778, 40779, 40786, 40805, 40806, 40837, 40839, 40851, 40865, 40870, 40873, 40885, 40903, 40917, 40920, 40942, 40974, 40979, 40985, 40986, 41031, 41043, 41044, 41047, 41068, 41078, 41089, 41114, 41139, 41148, 41155, 41187, 41201, 41204, 41227, 41236, 41263, 41330, 41346, 41348, 41354, 41357, 41383, 41412, 41416, 41420, 41425, 41451, 41481, 41494, 41495, 41560, 41589, 41620, 41621, 41622, 41623, 41624, 41700, 41725, 41730, 41735, 41736, 41761, 41775, 41826, 41842, 41867, 41893, 41900, 41903, 41904, 41906, 41916, 41936, 41955, 41985, 41987, 41994, 42013, 42014, 42044, 42045, 42102, 42116, 42129, 42163, 42165, 42184, 42197, 42243, 42269, 42280, 42301, 42311, 42386, 42434, 42487, 42497, 42507, 42548, 42573, 42578, 42600, 42608, 42715, 42740, 42748, 42773, 42777, 42814, 42826, 42839, 42858, 42930, 42968, 42998, 43000, 43040, 43061, 43065, 43120, 43127, 43142, 43180, 43241, 43257, 43261, 43266, 43286, 43292, 43326, 43329, 43355, 43386, 43387, 43400, 43421, 43440, 43459, 43588, 43608, 43610, 43639, 43659, 43661, 43667, 43672, 43726, 43730, 43755, 43771, 4379852, 4379861, 4379886, 4379889, 4379911, 43809, 43842, 43978, 44079, 44276, 44441, 44529, 44631, 44750, 46066, 46158, 46662, 47260, 48336, 48421, 48422, 48440, 48613, 48903, 49762, 50044, 50109, 50121, 50124, 50129, 50139, 50152, 50157, 50161, 50167, 50203, 50268, 50285, 50287, 50289, 50344, 50358, 50364, 50380, 50438, 53434, 53436, 53564, 5740101, 5740103, 5740115, 5740128, 5740178, 5740183, 5740186, 5740195, 5740212, 5740238, 5740243, 5740285, 5740297, 5740400, 5740407, 5740430, 5740436, 5740437, 5740442, 5740490, 5740537, 5740541, 5740549, 5740555, 5740558, 5740565, 5740574, 5740575, 5740593, 5740605, 5740624, 5740630, 5740634, 5740640, 5740644, 5740660, 5740661, 5740664, 5740681, 5740685, 5740699, 5740702, 5740704, 5740714, 5740761, 5740784, 5740805, 5740825, 59173, 59246, 7354415, 7354424, 7354431, 7354433, 7354466, 7354471, 8673955, 8673961, 8673967, 8673979, 8673992, 8674000, 8674004, 8674011, 8674020, 8674023, 8674025, 8674030, 8674035, 8674058, 8674060, 8674062, 8674081, 8674090, 8674111
