term	name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Anno
GO:0035025	positive regulation of Rho protein signal transduction	15	5	12.4	7.33	3.3e-05	0.00082	18.3	4.88	59.2	11	Process	2768948, 36915, 36929, 40205, 43974	2768948, 32729, 35237, 35496, 36915, 36929, 36930, 38578, 38806, 39900, 40205, 42137, 43766, 43974, 5740235
GO:0048190	wing disc dorsal/ventral pattern formation	40	7	6.49	5.79	8.4e-05	0.00082	7.82	2.89	18.2	10	Process	31391, 36171, 36772, 39572, 42757, 42841, 46085	31293, 31391, 32918, 33434, 33496, 34881, 36171, 36421, 36772, 37842, 38218, 39013, 39058, 39572, 39587, 39596, 39751, 40046, 40260, 40295, 40314, 40844, 41137, 41387, 42130, 42186, 42313, 42445, 42492, 42757, 42841, 43126, 43906, 43928, 44021, 45233, 46085, 50005, 53560, 53562
GO:0007422	peripheral nervous system development	67	9	4.98	5.44	7.2e-05	0.00082	5.75	2.48	11.8	6	Process	34665, 36171, 36945, 37355, 37455, 42757, 43974, 44172, 45380	31002, 31208, 31293, 32567, 33072, 34263, 34665, 34903, 34924, 35001, 35253, 35287, 35540, 35652, 35851, 36171, 36382, 36491, 36606, 36678, 36775, 36945, 37042, 37355, 37455, 38146, 38515, 38652, 38657, 38752, 38785, 38879, 39130, 39262, 39340, 39441, 40031, 40958, 41084, 41085, 41140, 41166, 41273, 41363, 42037, 42313, 42757, 43466, 43799, 43803, 43974, 44059, 44172, 44173, 44205, 44235, 44540, 44851, 45328, 45380, 45460, 45840, 46015, 47285, 47399, 47762, 48317
GO:0040003	chitin-based cuticle development	96	11	4.25	5.32	5.2e-05	0.00082	4.82	2.29	9.2	6	Process	36351, 36523, 40123, 42333, 43207, 43258, 43259, 43538, 43657, 44861, 8674055	246413, 246492, 2768918, 30998, 318014, 318102, 318997, 33022, 33409, 33782, 33903, 34134, 34270, 34409, 35188, 35256, 35817, 35818, 35819, 35820, 36188, 36189, 36191, 36193, 36194, 36196, 36265, 36345, 36348, 36351, 36352, 36353, 36354, 36523, 36525, 36613, 37038, 37299, 37815, 37963, 38239, 38240, 38241, 38580, 38701, 38702, 38706, 38707, 38708, 38710, 38773, 38775, 38938, 38940, 38990, 39081, 39223, 39224, 39815, 39816, 39897, 40121, 40123, 40354, 40355, 40408, 40535, 40537, 40694, 40819, 40821, 40822, 40824, 42333, 42450, 42615, 43200, 43201, 43203, 43204, 43207, 43208, 43210, 43258, 43259, 43538, 43657, 44861, 45017, 45018, 48317, 5740319, 5740547, 59158, 59159, 8674055
GO:0019730	antimicrobial humoral response	30	6	7.42	5.86	0.00013	0.00098	9.19	3.05	23.3	5	Process	34127, 3772082, 37967, 39999, 43650, 44339	2768852, 31460, 318206, 33185, 3346149, 34127, 34573, 34969, 36032, 37277, 37290, 3772082, 37967, 38122, 38321, 39063, 39999, 40739, 40848, 41562, 41943, 41945, 42501, 42550, 43222, 43650, 44339, 44548, 47121, 50070
GO:0006914	autophagy	37	6	6.01	5.09	0.00042	0.0027	7.11	2.41	17.5	5	Process	37733, 38344, 41944, 42256, 42515, 44936	2768940, 31405, 32001, 32429, 326115, 35540, 35933, 35998, 36002, 37141, 37733, 38344, 38455, 38456, 38846, 38913, 39383, 39454, 39962, 40044, 40700, 40998, 41096, 41868, 41944, 42169, 42256, 42446, 42515, 42850, 43312, 43438, 43991, 44936, 45959, 47408, 53585
GO:0007480	imaginal disc-derived leg morphogenesis	56	7	4.64	4.54	0.00072	0.004	5.26	1.99	11.8	8	Process	2768948, 36929, 37134, 40205, 42034, 43974, 44254	2768948, 31473, 31813, 31913, 32080, 32097, 32536, 32686, 32729, 32790, 32858, 32965, 33048, 33245, 33529, 33602, 34284, 34790, 35430, 35560, 36421, 36775, 36929, 36996, 37134, 37973, 38116, 38578, 38630, 39013, 39259, 39385, 39399, 39693, 39744, 39750, 39900, 40045, 40092, 40205, 40398, 40879, 41086, 41273, 41942, 42034, 42130, 42313, 42371, 42541, 42954, 43725, 43974, 44254, 46078, 46156
GO:0007427	epithelial cell migration, open tracheal system	31	5	5.98	4.62	0.0013	0.0064	7.04	2.1	18.8	8	Process	34505, 35007, 37447, 38760, 42757	32275, 32661, 33432, 34505, 34569, 34903, 35007, 35256, 36746, 37447, 37603, 37734, 38736, 38760, 39564, 40285, 40287, 41032, 41770, 41957, 42162, 42356, 42737, 42757, 43174, 43739, 44855, 44885, 45278, 45928, 53433
GO:0007424	open tracheal system development	102	9	3.27	3.84	0.0017	0.0074	3.57	1.57	7.18	7	Process	31391, 33753, 33759, 35340, 36363, 37455, 39493, 42034, 42757	31075, 31101, 31293, 31391, 31425, 31557, 318824, 32056, 32080, 32115, 32275, 32683, 32920, 32976, 33227, 33432, 3346238, 33529, 33753, 33759, 33796, 33903, 33953, 34132, 34569, 34844, 34847, 34903, 35253, 35287, 35340, 35343, 35524, 35555, 35942, 35966, 35975, 35997, 36001, 36252, 36363, 36542, 36588, 36692, 36775, 36854, 37034, 37038, 37042, 37386, 37455, 37734, 37890, 37929, 37949, 38065, 38146, 38338, 38424, 38995, 39491, 39493, 39564, 39842, 40009, 40149, 40150, 40191, 40285, 40287, 40378, 41032, 41062, 41084, 41562, 41697, 41770, 41772, 41957, 42034, 42313, 42356, 42380, 42428, 42737, 42757, 42896, 43174, 43466, 43604, 43717, 43739, 44540, 44855, 45278, 45884, 45928, 46187, 47763, 48775, 48973, 53433
GO:0006897	endocytosis	50	6	4.45	4.07	0.0021	0.0075	5	1.73	11.9	6	Process	117353, 33458, 37733, 38418, 42841, 45380	117353, 2768881, 31157, 31589, 31647, 31729, 31805, 31987, 32537, 32683, 32947, 32979, 33211, 33392, 33418, 33458, 3355072, 3355130, 34110, 35078, 35169, 35620, 35929, 35939, 36383, 36384, 36564, 36775, 36992, 37400, 37536, 37733, 38418, 38846, 38961, 39450, 39454, 39717, 39750, 41153, 41569, 42501, 42525, 42642, 42841, 42850, 43749, 44819, 45380, 45928
GO:0015031	protein transport	51	6	4.36	4.01	0.0024	0.0075	4.89	1.69	11.6	5	Process	35221, 35577, 37850, 42298, 42841, 44172	14462605, 31103, 31266, 31684, 317987, 32081, 32195, 32294, 32470, 326157, 33014, 33025, 33097, 33418, 3355163, 33988, 34167, 34264, 34636, 34840, 34872, 35221, 35437, 35577, 36127, 36670, 36699, 36992, 37132, 37536, 37850, 37864, 38049, 38930, 39327, 39881, 40168, 40359, 40701, 40712, 41152, 41870, 42298, 42841, 42845, 42960, 43823, 44172, 44360, 44381, 5740446
GO:0007507	heart development	52	6	4.28	3.95	0.0026	0.0075	4.79	1.66	11.4	4	Process	33753, 37368, 38760, 42034, 42757, 43650	31151, 31248, 31597, 32078, 32794, 33225, 33432, 33529, 3354888, 33607, 33753, 33769, 33770, 34189, 34263, 34350, 35047, 35147, 36032, 36104, 36255, 36258, 36692, 37368, 37386, 37655, 37734, 37888, 37989, 38736, 38760, 39039, 40835, 41140, 41491, 41770, 41853, 42034, 42037, 42160, 42537, 42541, 42737, 42757, 43222, 43565, 43650, 43725, 43769, 44849, 45307, 47763
GO:0007391	dorsal closure	88	8	3.37	3.72	0.0025	0.0075	3.68	1.52	7.72	8	Process	31391, 33753, 36171, 37205, 37455, 3772082, 41944, 44448	31151, 31293, 31332, 31391, 31746, 32028, 32078, 32083, 32256, 32920, 32935, 32981, 33072, 33156, 33225, 33226, 33392, 33432, 33529, 33619, 33638, 33727, 33753, 33834, 33881, 33903, 33905, 33988, 34096, 34132, 35147, 35256, 35524, 35881, 35950, 36057, 36171, 36521, 36692, 36775, 36990, 37201, 37205, 37455, 3772082, 37778, 38001, 38146, 38244, 38489, 38909, 39387, 39592, 39659, 39866, 40620, 40958, 40999, 41062, 41118, 41140, 41265, 41656, 41673, 41675, 41772, 41944, 42501, 42549, 42817, 42889, 43319, 43481, 43916, 44030, 44111, 44353, 44448, 44801, 44849, 44851, 44855, 44858, 44885, 45821, 46187, 48973, 49070
GO:0048749	compound eye development	109	9	3.06	3.6	0.0027	0.0075	3.32	1.46	6.66	9	Process	31391, 34665, 36411, 37455, 37549, 3772082, 43415, 43654, 44448	252671, 31149, 31229, 31293, 31391, 31473, 31499, 31535, 31607, 31813, 31842, 32080, 32123, 32207, 32473, 32537, 32631, 32987, 33225, 33392, 33819, 33881, 33916, 33972, 34284, 34286, 34328, 34432, 34543, 34665, 34982, 35261, 35430, 35524, 35662, 35756, 35927, 36260, 36411, 36527, 36555, 37201, 37455, 37549, 3772082, 37837, 37841, 38070, 38451, 38890, 39013, 39173, 39418, 39419, 39483, 39596, 39659, 39750, 40314, 40506, 40548, 40620, 40879, 40958, 41085, 41140, 41150, 41168, 41181, 41265, 41273, 41491, 41744, 41883, 42313, 42428, 42501, 42738, 42835, 42986, 43020, 43096, 43146, 43152, 43156, 43275, 43415, 43651, 43654, 43812, 43823, 43833, 43852, 43856, 43906, 44108, 44205, 44251, 44272, 44315, 44448, 44747, 44830, 45233, 45248, 45821, 47408, 48448, 5740544
GO:0007476	imaginal disc-derived wing morphogenesis	189	12	2.35	3.13	0.0051	0.013	2.51	1.26	4.57	8	Process	117353, 33753, 34665, 36171, 36945, 37455, 38760, 39493, 39572, 42757, 45280, 5740472	117300, 117353, 2768981, 30998, 31069, 31221, 31229, 31248, 31293, 31405, 31532, 31722, 31738, 317833, 31940, 32078, 32080, 32097, 32119, 32131, 32162, 32225, 32228, 32229, 32275, 32321, 32373, 32437, 32536, 32556, 326255, 32627, 32637, 32657, 32661, 32748, 32751, 32754, 32761, 32846, 32851, 32918, 32935, 32979, 33000, 33027, 33121, 33148, 33185, 33245, 33281, 33282, 33343, 33432, 33505, 33526, 33529, 3354888, 33619, 33627, 33753, 33881, 34132, 34284, 34405, 34592, 34648, 34665, 34681, 34780, 34896, 35097, 35253, 35368, 35430, 35524, 35540, 35555, 35653, 35698, 35731, 35851, 35900, 36118, 36171, 36239, 36395, 36396, 36421, 36497, 36555, 36571, 36782, 36945, 36964, 37455, 37546, 37575, 3771905, 37727, 37805, 37837, 37890, 38017, 38131, 38338, 38647, 38657, 38760, 38890, 38961, 39004, 39013, 39049, 39078, 39122, 39132, 39137, 39145, 39158, 39259, 39271, 39439, 39441, 39491, 39493, 39572, 39733, 39750, 40032, 40165, 40167, 40314, 40326, 40327, 40501, 40583, 40640, 40665, 40763, 40896, 41085, 41140, 41144, 41166, 41217, 41265, 41273, 41423, 41709, 42059, 42130, 42267, 42295, 42313, 42428, 42550, 42560, 42738, 42757, 42784, 42936, 42990, 43077, 43275, 43481, 43565, 43604, 43633, 43725, 43769, 43795, 43912, 43946, 44030, 44155, 44289, 44307, 44747, 45280, 45285, 45307, 45318, 45467, 46234, 48317, 49077, 5740316, 5740472
GO:0007417	central nervous system development	65	6	3.42	3.26	0.0079	0.019	3.73	1.3	8.71	6	Process	38231, 41612, 43404, 43415, 43650, 43974	31208, 31425, 31448, 31802, 32115, 32920, 33072, 33530, 33770, 33782, 33903, 34263, 34367, 34633, 34673, 34751, 34772, 34903, 35555, 36240, 36491, 37364, 37734, 37781, 38231, 38669, 38884, 38976, 39130, 39173, 39564, 39570, 39592, 39842, 40327, 40428, 40462, 40834, 40940, 41084, 41166, 41363, 41491, 41612, 42160, 42162, 42226, 42313, 42541, 42817, 43404, 43415, 43650, 43795, 43974, 44275, 44540, 44851, 44855, 44858, 44885, 45285, 45460, 45821, 53446
