Sex	Plate	Diet	Age	Rep
C1_f_1	f	1	ctrl	oldC	c1
C1_m_10	m	1	ctrl	oldC	c1
C1_m_11	m	1	ctrl	oldC	c1
C1_m_12	m	1	ctrl	oldC	c1
C1_m_13	m	1	ctrl	oldC	c1
C1_m_14	m	1	ctrl	oldC	c1
C1_m_1	m	1	ctrl	oldC	c1
C1_m_2	m	1	ctrl	oldC	c1
C1_m_4	m	1	ctrl	oldC	c1
C1_m_5	m	1	ctrl	oldC	c1
C1_m_7	m	1	ctrl	oldC	c1
C1_m_8	m	1	ctrl	oldC	c1
C1_m_9	m	1	ctrl	oldC	c1
C2_f_1	f	1	ctrl	oldC	c2
C2_f_2	f	1	ctrl	oldC	c2
C2_f_3	f	1	ctrl	oldC	c2
C2_f_4	f	1	ctrl	oldC	c2
C2_f_5	f	1	ctrl	oldC	c2
C2_m_10	m	1	ctrl	oldC	c2
C2_m_11	m	1	ctrl	oldC	c2
C2_m_12	m	2	ctrl	oldC	c2
C2_m_13	m	2	ctrl	oldC	c2
C2_m_14	m	2	ctrl	oldC	c2
C2_m_15	m	2	ctrl	oldC	c2
C2_m_16	m	2	ctrl	oldC	c2
C2_m_17	m	2	ctrl	oldC	c2
C2_m_18	m	2	ctrl	oldC	c2
C2_m_19	m	2	ctrl	oldC	c2
C2_m_1	m	1	ctrl	oldC	c2
C2_m_20	m	2	ctrl	oldC	c2
C2_m_21	m	2	ctrl	oldC	c2
C2_m_22	m	2	ctrl	oldC	c2
C2_m_23	m	2	ctrl	oldC	c2
C2_m_24	m	2	ctrl	oldC	c2
C2_m_25	m	2	ctrl	oldC	c2
C2_m_26	m	2	ctrl	oldC	c2
C2_m_27	m	2	ctrl	oldC	c2
C2_m_2	m	1	ctrl	oldC	c2
C2_m_3	m	1	ctrl	oldC	c2
C2_m_4	m	1	ctrl	oldC	c2
C2_m_5	m	1	ctrl	oldC	c2
C2_m_6	m	1	ctrl	oldC	c2
C2_m_7	m	1	ctrl	oldC	c2
C2_m_8	m	1	ctrl	oldC	c2
C2_m_9	m	1	ctrl	oldC	c2
HS1_f_10	f	2	hs	oldHS	hs1
HS1_f_11	f	2	hs	oldHS	hs1
HS1_f_12	f	2	hs	oldHS	hs1
HS1_f_13	f	2	hs	oldHS	hs1
HS1_f_14	f	2	hs	oldHS	hs1
HS1_f_15	f	2	hs	oldHS	hs1
HS1_f_16	f	2	hs	oldHS	hs1
HS1_f_1	f	1	hs	oldHS	hs1
HS1_f_2	f	1	hs	oldHS	hs1
HS1_f_3	f	1	hs	oldHS	hs1
HS1_f_4	f	1	hs	oldHS	hs1
HS1_f_5	f	1	hs	oldHS	hs1
HS1_f_6	f	1	hs	oldHS	hs1
HS1_f_7	f	1	hs	oldHS	hs1
HS1_f_8	f	1	hs	oldHS	hs1
HS1_f_9	f	2	hs	oldHS	hs1
HS1_m_10	m	2	hs	oldHS	hs1
HS1_m_11	m	2	hs	oldHS	hs1
HS1_m_12	m	2	hs	oldHS	hs1
HS1_m_13	m	2	hs	oldHS	hs1
HS1_m_14	m	2	hs	oldHS	hs1
HS1_m_15	m	2	hs	oldHS	hs1
HS1_m_16	m	2	hs	oldHS	hs1
HS1_m_1	m	1	hs	oldHS	hs1
HS1_m_2	m	1	hs	oldHS	hs1
HS1_m_3	m	1	hs	oldHS	hs1
HS1_m_4	m	1	hs	oldHS	hs1
HS1_m_5	m	1	hs	oldHS	hs1
HS1_m_6	m	1	hs	oldHS	hs1
HS1_m_7	m	1	hs	oldHS	hs1
HS1_m_8	f	1	hs	oldHS	hs1
HS1_m_9	m	2	hs	oldHS	hs1
HS2_f_10	f	2	hs	oldHS	hs2
HS2_f_11	f	2	hs	oldHS	hs2
HS2_f_12	f	2	hs	oldHS	hs2
HS2_f_1	f	1	hs	oldHS	hs2
HS2_f_2	f	1	hs	oldHS	hs2
HS2_f_3	f	1	hs	oldHS	hs2
HS2_f_4	f	1	hs	oldHS	hs2
HS2_f_5	f	1	hs	oldHS	hs2
HS2_f_6	f	1	hs	oldHS	hs2
HS2_f_7	f	1	hs	oldHS	hs2
HS2_f_8	f	1	hs	oldHS	hs2
HS2_f_9	f	2	hs	oldHS	hs2
HS2_m_10	m	2	hs	oldHS	hs2
HS2_m_11	m	2	hs	oldHS	hs2
HS2_m_12	m	2	hs	oldHS	hs2
HS2_m_13	m	2	hs	oldHS	hs2
HS2_m_1	m	1	hs	oldHS	hs2
HS2_m_2	m	1	hs	oldHS	hs2
HS2_m_3	m	1	hs	oldHS	hs2
HS2_m_4	m	1	hs	oldHS	hs2
HS2_m_5	m	1	hs	oldHS	hs2
HS2_m_6	m	1	hs	oldHS	hs2
HS2_m_7	m	1	hs	oldHS	hs2
HS2_m_8	m	1	hs	oldHS	hs2
HS2_m_9	m	2	hs	oldHS	hs2
T01_f_10	f	2	t0	young	t0
T01_f_11	f	2	t0	young	t0
T01_f_12	f	2	t0	young	t0
