gene	both	hs	ctrl	sig	sigexon	signotexon	snptype
FBgn0031208	0	0	0	0	0	0	notsig
FBgn0002121	0	0	0	0	0	0	notsig
FBgn0051973	0	0	0	0	0	0	notsig
FBgn0067779	0	0	0	0	0	0	notsig
FBgn0266322	0	0	0	0	0	0	notsig
FBgn0031213	0	0	0	0	0	0	notsig
FBgn0031214	0	0	0	0	0	0	notsig
FBgn0002931	0	0	0	0	0	0	notsig
FBgn0031216	0	0	0	0	0	0	notsig
FBgn0031217	0	0	0	0	0	0	notsig
FBgn0026787	0	0	0	0	0	0	notsig
FBgn0005278	0	0	0	0	0	0	notsig
FBgn0031228	0	0	0	0	0	0	notsig
FBgn0031219	0	0	0	0	0	0	notsig
FBgn0031220	0	0	0	0	0	0	notsig
FBgn0025683	0	0	0	0	0	0	notsig
FBgn0001142	0	0	0	0	0	0	notsig
FBgn0265074	0	0	0	0	0	0	notsig
FBgn0265075	0	0	0	0	0	0	notsig
FBgn0051975	0	0	0	0	0	0	notsig
FBgn0051976	0	0	0	0	0	0	notsig
FBgn0051974	0	0	0	0	0	0	notsig
FBgn0031224	0	0	0	0	0	0	notsig
FBgn0259818	0	0	0	0	0	0	notsig
FBgn0031229	0	0	0	0	0	0	notsig
FBgn0053635	0	0	0	0	0	0	notsig
FBgn0016977	0	0	0	0	0	0	notsig
FBgn0031231	0	0	0	0	0	0	notsig
FBgn0031233	0	0	0	0	0	0	notsig
FBgn0266557	0	0	0	0	0	0	notsig
FBgn0265151	0	0	0	0	0	0	notsig
FBgn0265153	0	0	0	0	0	0	notsig
FBgn0265152	0	0	0	0	0	0	notsig
FBgn0031235	0	0	0	0	0	0	notsig
FBgn0031238	0	0	0	0	0	0	notsig
FBgn0031239	0	0	0	0	0	0	notsig
FBgn0265150	0	0	0	0	0	0	notsig
FBgn0031240	0	0	0	0	0	0	notsig
FBgn0086912	0	0	0	0	0	0	notsig
FBgn0086856	0	0	0	0	0	0	notsig
FBgn0086855	0	0	0	0	0	0	notsig
FBgn0003444	0	0	0	0	0	0	notsig
FBgn0031244	0	0	0	0	0	0	notsig
FBgn0031245	0	0	0	0	0	0	notsig
FBgn0267995	0	0	0	0	0	0	notsig
FBgn0267996	0	0	0	0	0	0	notsig
FBgn0025686	0	0	0	0	0	0	notsig
FBgn0031247	0	0	0	0	0	0	notsig
FBgn0017457	0	0	0	0	0	0	notsig
FBgn0024352	0	0	0	0	0	0	notsig
FBgn0020622	0	0	0	0	0	0	notsig
FBgn0004611	0	0	0	0	0	0	notsig
FBgn0263872	0	0	0	0	0	0	notsig
FBgn0031248	0	0	0	0	0	0	notsig
FBgn0031249	0	0	0	0	0	0	notsig
FBgn0053127	0	0	0	0	0	0	notsig
FBgn0264086	0	0	0	0	0	0	notsig
FBgn0051921	0	0	0	0	0	0	notsig
FBgn0031250	0	0	0	0	0	0	notsig
FBgn0266907	0	0	0	0	0	0	notsig
FBgn0266906	0	0	0	0	0	0	notsig
FBgn0000061	0	0	0	0	0	0	notsig
FBgn0263871	0	0	0	0	0	0	notsig
FBgn0031251	1	0	0	1	1	0	exon
FBgn0003278	0	0	0	0	0	0	notsig
FBgn0264855	0	0	0	0	0	0	notsig
FBgn0263933	0	0	0	0	0	0	notsig
FBgn0031252	0	0	0	0	0	0	notsig
FBgn0002593	0	0	0	0	0	0	notsig
FBgn0031253	0	0	0	0	0	0	notsig
FBgn0031254	0	0	0	0	0	0	notsig
FBgn0031255	0	0	0	0	0	0	notsig
FBgn0004583	0	0	0	0	0	0	notsig
FBgn0263870	0	0	0	0	0	0	notsig
FBgn0015924	0	0	0	0	0	0	notsig
FBgn0031257	0	0	0	0	0	0	notsig
FBgn0031258	0	0	0	0	0	0	notsig
FBgn0027592	0	0	0	0	0	0	notsig
FBgn0003963	0	0	0	0	0	0	notsig
FBgn0043364	0	0	0	0	0	0	notsig
FBgn0267991	0	0	0	0	0	0	notsig
FBgn0267992	0	0	0	0	0	0	notsig
FBgn0010602	1	0	0	1	1	0	exon
FBgn0031260	0	0	0	0	0	0	notsig
FBgn0005660	0	0	0	0	0	0	notsig
FBgn0031261	0	0	0	0	0	0	notsig
FBgn0260933	0	0	0	0	0	0	notsig
FBgn0031263	0	0	0	0	0	0	notsig
FBgn0031264	0	0	0	0	0	0	notsig
FBgn0031265	0	0	0	0	0	0	notsig
FBgn0021874	0	0	0	0	0	0	notsig
FBgn0031266	0	0	0	0	0	0	notsig
FBgn0031267	1	0	0	1	1	0	exon
FBgn0031268	0	0	0	0	0	0	notsig
FBgn0013323	0	0	0	0	0	0	notsig
FBgn0023489	0	0	0	0	0	0	notsig
FBgn0010323	0	0	0	0	0	1	noexon
FBgn0031270	0	0	0	0	0	0	notsig
FBgn0263657	0	0	0	0	0	0	notsig
FBgn0263658	0	0	0	0	0	0	notsig
FBgn0040106	0	0	0	0	0	1	noexon
FBgn0266032	0	0	0	0	0	0	notsig
FBgn0266033	0	0	0	0	0	0	notsig
FBgn0040107	1	0	0	1	1	0	exon
FBgn0031273	0	0	0	0	0	0	notsig
FBgn0266909	0	0	0	0	0	0	notsig
FBgn0284247	1	1	1	1	1	1	both
FBgn0266323	0	0	1	1	0	1	noexon
FBgn0267993	0	0	0	0	0	0	notsig
FBgn0011244	1	0	0	1	1	0	exon
FBgn0026438	1	0	0	1	1	1	both
FBgn0031275	0	0	0	0	0	1	noexon
FBgn0265825	0	0	0	0	0	1	noexon
FBgn0031276	0	0	0	0	0	0	notsig
FBgn0040725	0	0	0	0	0	0	notsig
FBgn0031277	0	0	0	0	0	0	notsig
FBgn0041250	0	0	0	0	0	0	notsig
FBgn0031279	0	1	0	1	1	0	exon
FBgn0000442	1	1	0	1	1	0	exon
FBgn0266797	1	0	0	1	0	1	noexon
FBgn0051658	0	0	0	0	0	1	noexon
FBgn0086130	0	0	0	0	0	0	notsig
FBgn0031281	0	0	0	0	0	0	notsig
FBgn0031282	0	0	0	0	0	0	notsig
FBgn0031283	0	0	0	0	0	0	notsig
FBgn0031284	0	0	0	0	0	0	notsig
FBgn0015621	0	0	0	0	0	0	notsig
FBgn0031285	0	0	0	0	0	0	notsig
FBgn0031286	0	0	0	0	0	0	notsig
FBgn0010583	0	0	0	0	0	0	notsig
FBgn0020304	1	1	0	1	1	1	both
FBgn0264869	0	0	0	0	0	0	notsig
FBgn0031287	0	0	0	0	0	0	notsig
FBgn0020545	0	0	0	0	0	0	notsig
FBgn0031288	0	0	0	0	0	0	notsig
FBgn0266884	0	0	0	0	0	0	notsig
FBgn0031289	0	0	0	0	0	0	notsig
FBgn0029095	0	0	0	0	0	0	notsig
FBgn0020305	0	0	0	0	0	0	notsig
FBgn0053526	0	0	0	0	0	0	notsig
FBgn0031292	1	1	0	1	1	0	exon
FBgn0002936	0	0	0	0	0	0	notsig
FBgn0266887	0	0	0	0	0	1	noexon
FBgn0002563	0	1	0	1	1	0	exon
FBgn0003916	0	0	0	0	0	0	notsig
FBgn0266799	1	0	0	1	1	0	exon
FBgn0264870	0	0	0	0	0	0	notsig
FBgn0046113	0	0	0	0	0	0	notsig
FBgn0028481	1	0	0	1	1	1	both
FBgn0266036	0	0	0	0	0	0	notsig
FBgn0031294	1	1	1	1	1	1	both
FBgn0031295	0	0	0	0	0	0	notsig
FBgn0031296	0	0	0	0	0	0	notsig
FBgn0003310	1	0	0	1	1	1	both
FBgn0015905	1	0	0	1	0	1	noexon
FBgn0031298	0	0	0	0	0	0	notsig
FBgn0031299	1	0	0	1	0	1	noexon
FBgn0261938	0	1	0	1	1	0	exon
FBgn0031301	1	0	0	1	1	0	exon
FBgn0031302	0	0	0	0	0	0	notsig
FBgn0016926	1	1	0	1	1	1	both
FBgn0031304	0	0	0	0	0	0	notsig
FBgn0031305	0	0	0	0	0	0	notsig
FBgn0031306	0	0	0	0	0	0	notsig
FBgn0267281	0	0	0	0	0	0	notsig
FBgn0031307	0	1	0	1	0	1	noexon
FBgn0283525	0	0	0	0	0	0	notsig
FBgn0031309	0	0	0	0	0	0	notsig
FBgn0031310	0	0	0	0	0	0	notsig
FBgn0261458	0	0	0	0	0	0	notsig
FBgn0264267	0	0	0	0	0	0	notsig
FBgn0031312	0	0	0	0	0	0	notsig
FBgn0031313	0	0	0	0	0	0	notsig
FBgn0031314	0	0	0	0	0	0	notsig
FBgn0031315	0	0	0	0	0	0	notsig
FBgn0024314	0	0	0	0	0	0	notsig
FBgn0031317	0	0	0	0	0	0	notsig
FBgn0031318	0	0	0	0	0	0	notsig
FBgn0031319	0	1	0	1	1	0	exon
FBgn0031320	0	1	0	1	1	0	exon
FBgn0031321	0	0	0	0	0	0	notsig
FBgn0031322	1	1	0	1	1	1	both
FBgn0031323	0	0	0	0	0	0	notsig
FBgn0263080	0	0	0	0	0	0	notsig
FBgn0263081	0	0	0	0	0	0	notsig
FBgn0040723	0	0	0	0	0	0	notsig
FBgn0031324	0	0	0	0	0	0	notsig
FBgn0266885	0	0	0	0	0	0	notsig
FBgn0262944	0	0	0	0	0	0	notsig
FBgn0259229	0	0	0	0	0	0	notsig
FBgn0031327	0	0	0	0	0	0	notsig
FBgn0041097	1	1	0	1	0	1	noexon
FBgn0011294	0	0	0	0	0	0	notsig
FBgn0031331	0	0	0	0	0	0	notsig
FBgn0053923	0	0	0	0	0	0	notsig
FBgn0053922	0	0	0	0	0	0	notsig
FBgn0026141	0	0	0	0	0	0	notsig
FBgn0266357	0	0	0	0	0	0	notsig
FBgn0266358	0	0	0	0	0	0	notsig
FBgn0031332	0	0	0	0	0	0	notsig
FBgn0031333	0	0	0	0	0	0	notsig
FBgn0051924	0	0	0	0	0	0	notsig
FBgn0031335	0	0	0	0	0	0	notsig
FBgn0051659	0	0	0	0	0	0	notsig
FBgn0053126	0	0	0	0	0	0	notsig
FBgn0031337	0	0	0	0	0	0	notsig
FBgn0266203	0	0	0	0	0	0	notsig
FBgn0002543	1	1	0	1	0	1	noexon
FBgn0266202	0	0	0	0	0	0	notsig
FBgn0263320	0	0	0	0	0	0	notsig
FBgn0003926	0	0	0	0	0	0	notsig
FBgn0263321	0	0	0	0	0	1	noexon
FBgn0051928	0	0	0	0	0	0	notsig
FBgn0053128	0	0	0	0	0	0	notsig
FBgn0051926	1	0	0	1	1	0	exon
FBgn0051661	0	0	0	0	0	0	notsig
FBgn0031343	0	0	0	0	0	0	notsig
FBgn0031344	0	0	0	0	0	0	notsig
FBgn0264873	0	0	0	0	0	0	notsig
