lfc_ctrl	p_ctrl	FDR_ctrl	lfc_hs	p_hs	FDR_hs	diffexp_in	lfc_1
FBgn0031081	0.327100409244225	0.0438722964350362	0.0867353949625829	-0.0674159714811147	0.632007037618092	0.752984216684644	none	no
FBgn0031088	0.0965880480309979	0.650161495422223	0.752655860664262	-0.0274282632324328	0.878312759483063	0.927962808029972	none	no
FBgn0040784	0.105067001654778	0.638877327709542	0.744182895025942	-0.69042108215183	0.0129614505130541	0.0431587041946266	hs	no
FBgn0031082	0.21250963276372	0.359406082882241	0.499862053346032	-0.611951766058963	0.0209360457101981	0.0621307609915206	none	no
FBgn0031080	1.57294931308163	4.30543359662989e-13	9.51291653992211e-12	1.21902178630099	1.05023509759046e-09	1.68826451991162e-08	both	yes
FBgn0053217	-0.304892617546668	0.121834247263194	0.207914447917098	0.257476373494836	0.131728261509237	0.23793049385625	none	no
FBgn0052350	-0.817414739036827	4.35847623472212e-05	0.00019051969604322	0.130402917968623	0.405670595605851	0.552450973304786	ctrl	no
FBgn0024733	-0.222715398216242	0.02160531091879	0.0470890512537126	0.094711801552842	0.253764098334762	0.390172578296087	ctrl	no
FBgn0040372	-0.983522568385675	8.60119519738346e-07	5.63179637549133e-06	0.0442148366975004	0.771190063155966	0.855788891759594	ctrl	no
FBgn0000316	-0.432493645879701	0.0214434484855947	0.0467549421135169	0.164440471047614	0.298320157229917	0.441573707101239	ctrl	no
FBgn0024989	-0.672959055653116	0.0021537883217792	0.00625817663989721	-0.799688554456271	7.36306976869023e-05	0.000514519247920959	both	no
FBgn0029524	0.0550823798860347	0.731942736994128	0.815303089528616	-0.0741191446806629	0.602882279840312	0.729460157904556	none	no
FBgn0023536	-0.34247862571275	0.00250209713574153	0.00711393337760324	-0.44840773699519	1.78085107806936e-05	0.000141986775143368	both	no
FBgn0023534	0.146558033309117	0.453620203593468	0.592044065792503	0.00334465431747307	0.982041828020221	0.989384027398995	none	no
FBgn0023535	-0.68879795640571	1.72892171995459e-05	8.32797024417668e-05	-0.455469621784228	0.00139996875436728	0.00680652960085471	both	no
FBgn0023537	-0.491560960535593	1.50406207756345e-11	2.64361313632931e-10	-0.531121800162926	4.29312752896694e-15	1.17442323254822e-13	both	no
FBgn0029525	-0.179224799311779	0.194621138735522	0.308359664580959	0.271923804320467	0.0312795988955712	0.0835168351137867	none	no
FBgn0052816	0.290558147493664	0.113928920277229	0.196299879229841	0.418069713656617	0.0143218359687677	0.0466078830050983	hs	no
FBgn0040373	-1.58343717035983	2.92459964415437e-07	2.11544102822697e-06	-0.0907844913007915	0.614156177468604	0.739331055152731	ctrl	yes
FBgn0000108	0.478019809925565	0.00233546664777028	0.006701266682548	-0.0438645194842648	0.744107331891066	0.836881146583307	ctrl	no
FBgn0025640	0.0414007965869592	0.567719432218992	0.689360062595428	-0.00114660301532736	0.988846899796937	0.994312658800881	none	no
FBgn0025635	-0.569392719288877	0.00271021901795073	0.00762227275983824	0.0803157652346617	0.60266893838584	0.729460157904556	ctrl	no
FBgn0001341	-0.615559765537969	0.0014051683788895	0.00427821836975701	-0.0572879956234922	0.708601079310479	0.812234312881014	ctrl	no
FBgn0003575	0.101931757558396	0.262856733860453	0.393186412236102	0.115591648262101	0.161940172171484	0.277441057801247	none	no
FBgn0025634	-0.199284301253723	0.0994083311083644	0.174657330887681	0.130997747276866	0.228240254831112	0.360030499938855	none	no
FBgn0025638	-0.3876932000435	6.56556022624002e-06	3.48555884578842e-05	-0.082481136116639	0.291558023546788	0.434214193889097	ctrl	no
FBgn0040383	0.325725550455378	0.00763926991983592	0.018894772530027	-0.389905017022591	0.000602446502034964	0.00326337646139535	both	no
FBgn0040382	0.531341982612968	1.96105657927929e-05	9.30649241862323e-05	0.184238630843638	0.096616262970376	0.188647745852335	ctrl	no
FBgn0027343	0.102125305430789	0.486473901736285	0.621618196845182	-0.184023799236662	0.167923779157203	0.285344610182355	none	no
FBgn0025621	0.415545644767196	0.000385237442801298	0.00135074419793645	0.37128063514856	0.000519114219648767	0.00285879500881246	both	no
FBgn0025616	0.112268549340435	0.615191273980517	0.72639980986275	-0.528122885261497	0.0323794511652262	0.0854393678028188	none	no
FBgn0015799	-0.453657833150982	0.00139229800934631	0.004241399043264	0.148671316766939	0.231303784704583	0.363158919742596	ctrl	no
FBgn0025620	-0.32568961184852	0.0587589696028712	0.111812090867388	-0.17350652006133	0.238284183161858	0.371517885966729	none	no
FBgn0015288	-0.567679813795105	1.75518737570973e-06	1.06788574168739e-05	0.0143206937147551	0.8890934477687	0.934260680983904	ctrl	no
FBgn0025639	-0.411773971555719	0.00615420580354699	0.0156252980566912	0.0427039113169462	0.742246676821743	0.835563374330582	ctrl	no
FBgn0002579	-0.388119903986291	0.00012967178268882	0.000504227826166181	-0.0211717606694626	0.834735742809301	0.898977862137496	ctrl	no
FBgn0026879	-0.509785976019189	5.18680337115594e-06	2.83211399680676e-05	-0.187705764829899	0.0612579526901654	0.134940575905783	ctrl	no
FBgn0029529	-0.757557822069696	1.51550173179179e-18	5.88672647776064e-17	-0.596688499691026	2.14804555632123e-14	5.52969746397317e-13	both	no
FBgn0025633	-1.02585947087954	1.46640692665558e-08	1.45772601133385e-07	0.000737534601466292	0.997620739559448	0.998535568298154	ctrl	yes
FBgn0040339	-0.551978659114846	0.000119730349867039	0.000468575392183123	-0.146504566990787	0.236354027444396	0.369123509737527	ctrl	no
FBgn0052815	0.380128767588796	0.0635527751985638	0.119661642451669	0.358293442838042	0.0484285065249943	0.113603513587	none	no
FBgn0042146	0.471502645688077	0.0807273202901087	0.146660902291368	-0.167060232643122	0.361918809754276	0.508737129229611	none	no
FBgn0029552	0.0909635930432325	0.681813509111904	0.777150631992109	-0.375937437730299	0.0921919762756536	0.18266026884167	none	no
FBgn0040365	0.129400701733405	0.563219463727236	0.685650284026632	-0.598933393024401	0.0218887684943263	0.0643111461953085	none	no
FBgn0040397	0.697083732825181	0.00125708349452044	0.00386726785306951	0.263292547989334	0.13168525917627	0.237895860076111	ctrl	no
FBgn0040338	-0.023529808114975	0.912521102322248	0.942706956058183	-0.855022085922935	0.00535667275157855	0.0209713353957962	hs	no
FBgn0040350	0.576782144535133	0.000169796664917478	0.000644412586082849	-0.0381704395806792	0.770282736310592	0.855216770097662	ctrl	no
FBgn0040349	0.153937709174506	0.271243674188192	0.403629816464093	-1.13017250206191	2.52356028451484e-15	7.21064411138208e-14	hs	yes
FBgn0040348	0.398135531463086	0.0765118668981238	0.140451905010599	-0.136895485181647	0.44617549186763	0.591307126485573	none	no
FBgn0040346	-0.104400956640802	0.53459074982994	0.664433845865839	0.360255294656858	0.025978459549302	0.07294954617459	none	no
FBgn0040342	-0.31941874584216	0.0775203106688846	0.141992648254888	-0.0705147253023709	0.645410431725694	0.763402247401698	none	no
FBgn0040345	0.296813969590365	0.217205771938213	0.337729331149689	-0.323090435243593	0.129125731236453	0.234237553007459	none	no
FBgn0040364	-0.206197744136971	0.073559919524827	0.135763699968462	0.108944294483843	0.29244502461624	0.43510067025688	none	no
FBgn0040362	0.151902938831892	0.499728474973852	0.634027235190003	-0.429277714036365	0.0623347291400363	0.136678097341	none	no
FBgn0040359	-0.393867758505866	0.107058704674691	0.185955722712325	-0.711188949132724	0.00772751227937533	0.0282376285669172	hs	no
FBgn0029568	-1.96832059369732	8.44819652528616e-07	5.55651500580388e-06	0.104667707732678	0.556401963650698	0.689892926644027	ctrl	yes
FBgn0040367	-1.9989619376518	4.63008976397094e-07	3.2312934637943e-06	-0.20809928169268	0.280044394304476	0.421341670930853	ctrl	yes
